序号,城市,GDP,人口,AQI,SO2,CO,PM2.5,良好天数,第一产业增加值,第二产业增加值,第三产业增加值
1,北京,23014.59,1345.2,113,12,1.284394669,78,202,140.21,4542.64,18331.74
2,天津,16538.19,1026.9,103,28,1.373419097,70,212,208.82,7704.22,8625.15
3,石家庄,5440.6,1028.84,121,49,1.353175094,86,168,494.44,2452.4,2493.77
4,太原,2735.34,367.39,91,67,1.59888017,59,236,37.4,1020.18,1677.77
5,呼和浩特,3090.52,238.58,84,33,1.272407886,42,275,126.23,867.08,2097.21
6,沈阳,7272.31,730.41,102,59,1.021202033,70,225,341.43,3474.18,3456.69
7,大连,7731.64,593.56,79,29,0.789973133,47,295,453.25,3348.74,3929.64
8,长春,5530.03,753.83,96,32,0.88015361,63,248,343.24,2770.98,2415.81
9,哈尔滨,5751.21,961.37,98,38,1.013605564,68,240,672.52,1862.78,3215.91
10,上海,25123.45,1442.97,81,16,0.852324187,53,273,109.82,7991,17022.63
11,南京,9720.77,653.4,87,18,0.974293232,56,262,232.39,3916.77,5571.61
12,杭州,10050.21,723.55,79,14,0.882526723,54,280,287.95,3909.01,5853.25
13,宁波,8003.61,586.57,70,15,0.885466557,44,315,284.68,4098.22,3620.71
14,合肥,5660.27,717.72,92,16,1.018334459,65,252,263.43,2977.27,2419.57
15,福州,5618.08,678.36,53,6,0.717337721,28,354,434.69,2449.55,2733.83
16,厦门,3466.03,211.15,48,8,0.59019225,29,362,23.93,1511.28,1930.82
17,南昌,4000.01,520.38,67,23,0.936284547,40,312,171.26,2179.96,1648.79
18,济南,6100.23,625.73,129,46,1.399057751,89,136,305.39,2307,3487.84
19,青岛,9300.07,783,84,27,0.91364185,50,284,363.98,4026.46,4909.63
20,郑州,7311.52,810.49,135,32,1.519666806,95,127,150.92,3604.15,3556.45
21,武汉,10905.6,829.27,100,19,1.099109335,68,217,359.81,4981.54,5564.25
22,长沙,8510.13,680.36,84,17,0.946662644,59,268,341.78,4333.58,3834.77
23,广州,18100.41,854.19,59,12,0.958962071,38,342,226.84,5726.08,12147.49
24,深圳,17502.86,354.99,48,7,0.887485664,29,358,6.65,7207.94,10288.28
25,南宁,3410.09,740.23,63,12,0.94391301,40,324,370.35,1345.66,1694.08
26,海口,1161.96,164.8,40,4,0.645742702,20,358,57.09,223.67,881.21
27,重庆,15717.27,3371.84,77,15,1.101803369,54,307,1150.15,7069.37,7497.75
28,成都,10801.16,1228.05,90,15,1.058609147,60,252,373.15,4723.49,5704.52
29,贵阳,2891.16,391.79,57,16,0.697961113,37,343,129.89,1108.52,1652.75
30,昆明,3968.01,555.57,50,17,0.990861464,28,362,188.1,1586.38,2193.52
31,拉萨,376.73,53.03,59,9,0.636140446,24,358,13.8,140.95,221.98
32,西安,5801.2,815.66,94,23,1.779943333,57,257,220.2,2126.29,3454.71
33,兰州,2095.99,321.9,87,20,1.367138379,48,276,56.22,782.65,1257.11
34,西宁,1131.62,201.17,82,25,1.389010194,48,290,37.46,543.47,550.69
35,银川,1493.86,179.23,86,57,1.08673391,47,284,58.62,780.84,654.4
36,乌鲁木齐,2631.64,266.83,108,15,1.4341529,66,222,31.64,787.37,1812.62
